연번,행정동,구조,연면적,층_동,등급,농촌지역여부,데이터기준일자
92,도산동,시멘트블럭조,13.88,1층/1동,2등급,도시지역,2025-05-27
93,도산동,부록조,33.72,1층/1동,1등급,도시지역,2025-05-27
94,도산동,적벽돌조,73.62,1층/3동,2등급,도시지역,2025-05-27
95,도산동,목조,50.57,1층/1동,2등급,도시지역,2025-05-27
96,도산동,적벽돌+시멘벽돌조,82.17,1층/2동,1등급,도시지역,2025-05-27
97,도산동,목조,62.14,1층/1동,3등급,도시지역,2025-05-27
98,도산동,부록조,29.75,1층/1동,1등급,도시지역,2025-05-27
99,도산동,세멘부록조,41.32,1층/1동,3등급,도시지역,2025-05-27
100,도산동,시멘브럭조,26.8,1층/1동,2등급,도시지역,2025-05-27
101,도산동,세면부록조,75.03,1층/2동,1등급,도시지역,2025-05-27
102,도산동,시멘벽돌조,70.47,1층/2동,1등급,도시지역,2025-05-27
