연번,행정동,구조,연면적,층_동,등급,농촌지역여부,데이터기준일자
403,평동,흙벽돌조,61.1,1층/2동,3등급,도시지역,2025-05-27
404,평동,블럭조,32,1층/1동,3등급,도시지역,2025-05-27
405,평동,목조+목조,31.3+62.8,1층/2동+1층/2동,4등급,도시지역,2025-05-27
406,평동,목조,72.8,1층/2동,4등급,도시지역,2025-05-27
407,평동,목조,145.5,1층/2동,3등급,도시지역,2025-05-27
408,평동,목조,23.4,1층/1동,4등급,도시지역,2025-05-27
409,평동,블록조,82.7,1층/2동,3등급,도시지역,2025-05-27
410,평동,목조,66.1,1층/2동,3등급,도시지역,2025-05-27
411,평동,토담+목조,52.5+82,1층/2동+1층/2동,4등급,농촌지역,2025-05-27
412,평동,세멘벽돌조,76.96,1층/3동,2등급,농촌지역,2025-05-27
413,평동,조적조,126.18,1층/2동,2등급,농촌지역,2025-05-27
414,평동,조적조,162.68,1층/3동,2등급,농촌지역,2025-05-27
415,평동,브럭조,147.16,1층/2동,2등급,농촌지역,2025-05-27
416,평동,목조,128.2,1층/3동,3등급,농촌지역,2025-05-27
417,평동,목조,56.08,1층/2동,3등급,농촌지역,2025-05-27
418,평동,목조,66.13,1층/3동,2등급,농촌지역,2025-05-27
419,평동,브럭조+목조,80.04+80.2,1층/2동+1층/2동,3등급,농촌지역,2025-05-27
420,평동,목조,102.5,1층/4동,3등급,농촌지역,2025-05-27
421,평동,목조,135.5,1층/3동,3등급,농촌지역,2025-05-27
422,평동,목조,86,1층/2동,2등급,농촌지역,2025-05-27
423,평동,목조,76.1,1층/3동,3등급,농촌지역,2025-05-27
424,평동,목조,82.6,1층/2동,4등급,농촌지역,2025-05-27
425,평동,토담조,75.15,1층/2동,2등급,농촌지역,2025-05-27
426,평동,목조,36.4,1층/1동,2등급,농촌지역,2025-05-27
427,평동,브럭조,76.53,1층/2동,4등급,농촌지역,2025-05-27
428,평동,목조,76.1,1층/2동,3등급,농촌지역,2025-05-27
429,평동,세멘브럭조,131.29,1층/2동,1등급,농촌지역,2025-05-27
430,평동,목조,79.9,1층/2동,2등급,농촌지역,2025-05-27
431,평동,목조,194.2,1층/6동,3등급,농촌지역,2025-05-27
432,평동,조적조,83.16,1층/2동,1등급,농촌지역,2025-05-27
433,평동,목조,99.3,1층/3동,2등급,농촌지역,2025-05-27
434,평동,브럭조,215.6,1층/4동,2등급,농촌지역,2025-05-27
435,평동,세벽조,97.25,1층/3동,1등급,농촌지역,2025-05-27
436,평동,목조,343.8,1층/5동,2등급,농촌지역,2025-05-27
437,평동,브럭조,126.44,1층/2동,2등급,농촌지역,2025-05-27
438,평동,목조,84.18,1층/2동,3등급,농촌지역,2025-05-27
439,평동,브럭조,173.01,1층/3동,2등급,농촌지역,2025-05-27
440,평동,목조,148.96,1층/3동,2등급,농촌지역,2025-05-27
441,평동,목조,83.3,1층/3동,2등급,농촌지역,2025-05-27
442,평동,목조,84.57,1층/2동,1등급,농촌지역,2025-05-27
443,평동,브럭조,375.77,1층/3동,4등급,농촌지역,2025-05-27
444,평동,목조,130.9,1층/3동,4등급,농촌지역,2025-05-27
445,평동,브럭조,69,1층/2동,3등급,농촌지역,2025-05-27
446,평동,목조,200.53,1층/5동,4등급,농촌지역,2025-05-27
447,평동,목조+목조,66+186.17,1층/2동+1층/5동,3등급,농촌지역,2025-05-27
448,평동,세멘브럭조,193.3,1층/4동,4등급,농촌지역,2025-05-27
449,삼도동,새맨벽돌조,127.59,1층/3동,1등급,농촌지역,2025-05-27
450,삼도동,목조+일반목구조,146.41+77.67,1층/5동+1층/2동,3등급,농촌지역,2025-05-27
451,삼도동,목조+목조,53.547+98.28,1층/2동+1층/1동,2등급,농촌지역,2025-05-27
452,삼도동,세멘벽돌조,72.39,1층/2동,2등급,농촌지역,2025-05-27
453,삼도동,일반목구조,273.04,1층/6동,1등급,농촌지역,2025-05-27
