읍면동,리,주택유형,전용면적,건축연도,빈집등급,데이터기준일 
가조면,기리,단독주택,38.05,1925,2,2025-07-01
가조면,기리,단독주택,89.5,1951,2,2025-07-01
가조면,기리,단독주택,43.59,1925,2,2025-07-01
가조면,기리,그 외,34,1960,2,2025-07-01
남상면,임불리,단독주택,43.4,1971,3,2025-07-01
남상면,둔동리,단독주택,114.52,1966,3,2025-07-01
신원면,덕산리,단독주택,39.67,1940,2,2025-07-01
북상면,월성리,단독주택,51.9,1953,2,2025-07-01
북상면,농산리,단독주택,53.54,1940,2,2025-07-01
북상면 ,농산리,단독주택,49.58,1945,3,2025-07-01
북상면,농산리,단독주택,66.1,1979,2,2025-07-01
남상면,둔동리,그 외,109.28,1958,3,2025-07-01
가조면,동례리,단독주택,64.78,1954,1,2025-07-01
가조면,동례리,그 외,65.5,1925,2,2025-07-01
가조면,동례리,단독주택,61.82,1976,2,2025-07-01
가조면,마상리,그 외,49.6,1925,3,2025-07-01
가조면,마상리,그 외,83.1,1927,2,2025-07-01
남상면,무촌리,단독주택,106.35,1982,2,2025-07-01
위천면,모동리,단독주택,72.9,1955,2,2025-07-01
위천면,모동리,단독주택,54.4,1974,3,2025-07-01
가북면,몽석리,단독주택,51.57,1896,4,2025-07-01
가북면,몽석리,단독주택,21.49,1908,3,2025-07-01
남하면,무릉리,단독주택,68.76,1920,1,2025-07-01
위천면 ,모동리,단독주택,73.9,1900,3,2025-07-01
북상면,월성리,단독주택,50.25,1952,2,2025-07-01
가북면,해평리,그 외,52.6,1980,2,2025-07-01
가북면,해평리,그 외,40.3,1998,3,2025-07-01
신원면,와룡리,그 외,70.7,1950,3,2025-07-01
가조면,수월리,단독주택,227.34,2008,2,2025-07-01
남상면,임불리,단독주택,56.86,1961,2,2025-07-01
마리면 ,율리,그 외,89,1978,1,2025-07-01
마리면 ,월계리,그 외,47.4,1943,3,2025-07-01
신원면,와룡리,그 외,44,1970,1,2025-07-01
신원면,와룡리,단독주택,42.98,1950,3,2025-07-01
마리면 ,말흘리,단독주택,51.3,1965,1,2025-07-01
거창읍,김천리,단독주택,29.75,1973,2,2025-07-01
신원면,양지리,단독주택,26.45,1942,4,2025-07-01
가북면,중촌리,단독주택,80.7,1901,4,2025-07-01
마리면 ,대동리,단독주택,69.79,1920,2,2025-07-01
마리면,대동리,단독주택,54.38,1945,4,2025-07-01
마리면,대동리,단독주택,42.98,1965,3,2025-07-01
신원면,중유리,단독주택,26.45,1949,3,2025-07-01
신원면,중유리,단독주택,26.45,1949,1,2025-07-01
신원면,양지리,그 외,51.2,1951,4,2025-07-01
남하면,무릉리,단독주택,65.79,1960,1,2025-07-01
주상면,내오리,단독주택,136.74,1920,2,2025-07-01
주상면,거기리,그 외,64.4,1961,2,2025-07-01
가북면,용암리,그 외,34.65,1998,1,2025-07-01
가북면,우혜리,그 외,53.2,1987,3,2025-07-01
가조면,장기리,그 외,,,1,2025-07-01
남상면,임불리,그 외,73.34,1988,2,2025-07-01
마리면,월계리,그 외,61.8,2000,1,2025-07-01
가북면,용산리,그 외,45.3,1980,2,2025-07-01
가북면,용산리,그 외,61.2,1980,3,2025-07-01
남상면 ,임불리,그 외,,,1,2025-07-01
남상면,임불리,단독주택,57.78,1941,1,2025-07-01
남상면,임불리,단독주택,47.77,1926,2,2025-07-01
남상면,임불리,단독주택,47.21,1955,1,2025-07-01
거창읍,장팔리,그 외,38,1957,2,2025-07-01
거창읍,장팔리,단독주택,26.45,1945,2,2025-07-01
거창읍,장팔리,단독주택,33.06,1945,1,2025-07-01
마리면,말흘리,그 외,42.1,1955,1,2025-07-01
거창읍 ,중앙리,단독주택,39.67,1961,2,2025-07-01
가조면 ,일부리,그 외,28.35,1985,2,2025-07-01
남상면,무촌리,단독주택,28.26,1958,3,2025-07-01
남상면 ,무촌리,단독주택,50.71,1935,2,2025-07-01
남상면 ,진목리,단독주택,62.11,1967,1,2025-07-01
북상면 ,창선리,그 외,43.3,1962,2,2025-07-01
마리면,말흘리,단독주택,83,1960,2,2025-07-01
마리면 ,말흘리,단독주택,32.13,1940,2,2025-07-01
신원면 ,과정리,단독주택,45,1991,2,2025-07-01
남상면 ,춘전리,단독주택,60.49,1958,3,2025-07-01
마리면,율리,단독주택,56.5,1957,2,2025-07-01
북상면 ,산수리,그 외,66.4,1956,2,2025-07-01
남상면 ,대산리,단독주택,53.32,1926,2,2025-07-01
