읍면동,리,주택유형,전용면적,건축연도,빈집등급,데이터기준일 
신원면,청수리,단독,66.5,1996,2,2025-07-01
가조면,대초리,단독,133.09,1945,1,2025-07-01
가조면,대초리,그외,26.4,1920,2,2025-07-01
가조면,대초리,단독,127.17,1925,1,2025-07-01
가조면,대초리,단독,91.17,1945,2,2025-07-01
남하면,둔마리,단독,106.86,1960,2,2025-07-01
남하면,둔마리,단독,58.29,1973,2,2025-07-01
남하면,둔마리,그외,154.89,1960,2,2025-07-01
남하면,둔마리,단독,64.8,1957,1,2025-07-01
거창읍,대평리,단독,26.45,1945,2,2025-07-01
거창읍,대평리,단독,26.45,1945,2,2025-07-01
거창읍,대평리,그외,,,2,2025-07-01
신원면,대평리,단독,59.51,1950,2,2025-07-01
신원면,대현리,단독,42.97,1950,2,2025-07-01
주상면,남산리,그외,48.6,1935,2,2025-07-01
주상면,완대리,그외,96.1,2002,2,2025-07-01
주상면,완대리,단독,37.32,1920,2,2025-07-01
가조면,도리,그외,104.8,1965,2,2025-07-01
가조면,도리,단독,113.94,1925,2,2025-07-01
가조면,도리,단독,117.85,1925,2,2025-07-01
가조면,도리,단독,61.1,1945,1,2025-07-01
가조면,도리,그외,46.03,1976,1,2025-07-01
가조면,도리,단독,54.8,1950,2,2025-07-01
가조면,도리,단독,56.5,1925,1,2025-07-01
가조면,도리,단독,79.8,1968,1,2025-07-01
가조면,도리,단독,73.3,1955,2,2025-07-01
가조면,도리,단독,49.6,1960,2,2025-07-01
가조면,일부리,단독,96.28,1982,1,2025-07-01
주상면,도평리,단독,56.23,1933,2,2025-07-01
주상면,도평리,그외,40,1996,2,2025-07-01
주상면,도평리,단독,55.93,1926,2,2025-07-01
주상면,도평리,단독,65.43,1933,2,2025-07-01
거창읍,대동리,단독,39.67,1963,2,2025-07-01
거창읍,대동리,단독,26.45,1950,3,2025-07-01
가조면,동례리,단독,62.81,1949,2,2025-07-01
가조면,동례리,단독,41.4,1925,1,2025-07-01
가조면,동례리,단독,17.35,1925,1,2025-07-01
